"prideID","tax","organismParts","experimentTypes","instruments"
"PXD018422","Salmonella enterica subsp. enterica serovar typhimurium str. sl1344;Bacteria","","Shotgun proteomics","Orbitrap Fusion"
"PXD018461","Nitrososphaera viennensis en76","Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD018576","Trypanosoma brucei","Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;LTQ Orbitrap Velos"
"PXD019252","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Q Exactive"
"PXD019254","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Q Exactive"
"PXD019305","Rhodotorula toruloides","","Shotgun proteomics","LTQ Orbitrap"
"PXD019363","Ciona robusta;Mus musculus (mouse)","Embryonic stem cell;Embryo;Heart","Shotgun proteomics","Q Exactive HF"
"PXD019692","Homo sapiens (human)","Cell culture","Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive HF"
"PXD020019","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD020096","Bacteria;Staphylococcus epidermidis rp62a","","Shotgun proteomics","Orbitrap Fusion"
"PXD020222","Homo sapiens (human)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD020493","Homo sapiens (human)","Brain;Blood plasma;Pbmc cell line","Shotgun proteomics","Orbitrap Fusion"
"PXD013640","Homo sapiens (human)","","Shotgun proteomics","Q Exactive"
"PXD014290","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Orbitrap Fusion"
"PXD015006","Homo sapiens (human)","Blood plasma","Top-down proteomics","Q Exactive HF"
"PXD016023","Arabidopsis thaliana (mouse-ear cress)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite;Q Exactive"
"PXD017471","Mus musculus (mouse)","Brain","Gel-based experiment","LTQ Orbitrap"
"PXD018216","Homo sapiens (human)","","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD018350","Mus musculus (mouse)","Brain","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap;Q Exactive HF"
"PXD018855","Homo sapiens (human)","Brain","Shotgun proteomics","Q Exactive"
"PXD018946","Mus musculus (mouse)","Liver","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD018947","Homo sapiens (human)","Dermal microvascular endothelial cell;Microvascular endothelial cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD018969","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD019032","Leishmania mexicana","","Shotgun proteomics","Orbitrap Fusion"
"PXD019045","Homo sapiens (human)","Liver","Shotgun proteomics","Q Exactive HF"
"PXD019451","Mus musculus (mouse)","Hypothalamus","Shotgun proteomics","Orbitrap Exploris 480"
"PXD019513","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD019778","Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD020450","Naja mossambica;Naja pallida","Venom","Shotgun proteomics","Q Exactive"
"PXD020914","Homo sapiens (human)","Cell culture","Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD014330","Streptococcus pneumoniae tigr4","","Shotgun proteomics","Q Exactive"
"PXD014427","Homo sapiens (human);Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD014800","Homo sapiens (human)","Saliva","SWATH MS;SRM/MRM","TripleTOF 5600"
"PXD015690","Homo sapiens (human)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD016167","Homo sapiens (human)","Fibroblast","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD016878","Homo sapiens (human)","Epithelial cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD016925","Sarcoptes scabiei","Excretion;Protein secretion","Top-down proteomics","Q Exactive"
"PXD017320","Mus musculus (mouse)","Bone marrow;Liver","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017590","Caenorhabditis elegans;Homo sapiens (human)","Whole body","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD017591","Caenorhabditis elegans;Homo sapiens (human)","Whole body","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD017649","Homo sapiens (human)","Cell suspension culture","Shotgun proteomics","Q Exactive"
"PXD017766","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive HF"
"PXD018140","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive"
"PXD018348","Arabidopsis thaliana (mouse-ear cress)","","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD019073","Trypanosoma brucei","Blood cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD019085","Nematostella vectensis","","Shotgun proteomics","Q Exactive"
"PXD019103","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019268","Arabidopsis thaliana (mouse-ear cress)","Leaf","Shotgun proteomics","Orbitrap Fusion"
"PXD019348","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD019504","Homo sapiens (human)","Epithelial cell;Colon","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019684","Homo sapiens (human)","Cell culture;Monocyte","Shotgun proteomics;Gel-based experiment","Orbitrap Fusion"
"PXD019791","Homo sapiens (human)","Permanent cell line cell;Hela cell","Shotgun proteomics","Q Exactive HF"
"PXD019795","Homo sapiens (human)","Permanent cell line cell;Hela cell","Shotgun proteomics","Q Exactive"
"PXD019876","Mus musculus (mouse)","Lymph node;T cell","Shotgun proteomics","Q Exactive"
"PXD020119","Macaca mulatta (rhesus macaque)","Permanent cell line cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD020296","Homo sapiens (human)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD020383","Mycobacterium tuberculosis","Cell culture","Shotgun proteomics","Q Exactive"
"PXD020622","Homo sapiens (human)","","Shotgun proteomics","Q Exactive HF"
"PXD020719","Drosophila melanogaster (fruit fly)","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD020924","Naja ashei","Venom","Shotgun proteomics","Q Exactive"
"PXD014370","Homo sapiens (human)","Monocyte;Monocyte","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD017959","Crunoecia irrorata","Whole body","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018752","Mus musculus (mouse)","Macrophage;Lung","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD018827","Mus musculus (mouse)","Colon;Cell culture","Shotgun proteomics","Q Exactive Plus"
"PXD018893","Canis familiaris (dog) (canis lupus familiaris)","Cerebrospinal fluid","Shotgun proteomics","Q Exactive Plus"
"PXD019197","Solanum lycopersicum;Tomato mottle virus","Leaf;Plant cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD019560","Medicago sativa (alfalfa)","Leaf","Shotgun proteomics","Q Exactive"
"PXD019716","Mus musculus (mouse)","Cell culture;Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD019882","Mus musculus (mouse)","Neuron;Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD021237","Pseudomonas sp. phdv1","","Shotgun proteomics","impact II"
"PXD021320","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD021507","Homo sapiens (human)","Kidney;Kidney epithelium","Shotgun proteomics","Q Exactive HF"
"PXD010046","Xenopus laevis (african clawed frog);Homo sapiens (human)","Embryo;Cell culture;Early embryonic cell;Oocyte;Egg","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD014457","Homo sapiens (human)","Blood;Neutrophil","Shotgun proteomics","Orbitrap Fusion"
"PXD015609","Homo sapiens (human)","Brain","Shotgun proteomics","LTQ Orbitrap"
"PXD016038","Homo sapiens (human)","Hela cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD017167","Homo sapiens (human)","Platelet;Blood platelet","Shotgun proteomics","Orbitrap Fusion ETD"
"PXD017618","Escherichia coli","","Top-down proteomics;Shotgun proteomics","Orbitrap Fusion Lumos;Q Exactive"
"PXD018825","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF-X"
"PXD019083","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD019566","Homo sapiens (human)","Epithelial cell;Cell culture","Top-down proteomics","LTQ Orbitrap"
"PXD019920","Staphylococcus aureus;Mus musculus (mouse)","Kidney","Shotgun proteomics","Orbitrap Fusion"
"PXD020160","Sorghum bicolor","Internode","Shotgun proteomics","Q Exactive"
"PXD020238","Canis familiaris (dog) (canis lupus familiaris)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD020245","Homo sapiens (human);Mus musculus (mouse)","Colon;Cell culture;Ileum","Shotgun proteomics","Q Exactive"
"PXD020336","Mus musculus (mouse)","Brain","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion;Q Exactive"
"PXD020362","Homo sapiens (human)","Breast","Shotgun proteomics","Bruker Daltonics flex series"
"PXD021035","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD021639","Mus musculus (mouse)","Liver;Intestinal wall","Shotgun proteomics","Q Exactive"
"PXD022023","Mus musculus (mouse)","Liver","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022286","Escherichia coli","Feces","Shotgun proteomics","Q Exactive Plus"
"PXD009877","Homo sapiens (human)","Neuroendocrine tumor cell;Small intestine;Neuroendocrine cell","Shotgun proteomics","Q Exactive"
"PXD014351","Dinoroseobacter shibae (strain dfl 12)","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD014691","Mus musculus (mouse)","Cell suspension culture;B cell;Primary cell","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD019296","Rattus norvegicus (rat)","Heart","Shotgun proteomics","Q Exactive"
"PXD019708","Homo sapiens (human)","Acute myeloid leukemia cell line;Blood cell","Shotgun proteomics","Orbitrap Fusion"
"PXD019852","Sus scrofa domesticus (domestic pig)","Heart","Shotgun proteomics","Q Exactive HF"
"PXD020224","Homo sapiens (human)","Cell culture;Melanocyte","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF-X;Q Exactive Plus;Orbitrap Fusion"
"PXD020226","Bacillus subtilis subsp. subtilis str. 168;Staphylococcus aureus (strain usa300)","","Shotgun proteomics","Q Exactive HF"
"PXD020342","Danio rerio (zebrafish) (brachydanio rerio);Escherichia coli","Brain","Top-down proteomics","Q Exactive HF"
"PXD020408","Aedes aegypti","Midgut","Shotgun proteomics","Q Exactive"
"PXD020559","Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD020748","Arabidopsis thaliana (mouse-ear cress)","Shoot;Plant cell","Shotgun proteomics","Q Exactive HF"
"PXD020964","Homo sapiens (human)","Blood;T cell","All-ion fragmentation","Q Exactive"
"PXD021677","Homo sapiens (human)","Blood plasma","Shotgun proteomics","Q Exactive"
"PXD021712","Homo sapiens (human);Hepatitis b virus","Cell culture;Hepatocyte","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos;Orbitrap Fusion"
"PXD021719","Homo sapiens (human)","Epithelial cell","Top-down proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD021798","Escherichia coli","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD021869","Drosophila melanogaster (fruit fly)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD021882","Homo sapiens (human)","Blood;Cell culture","Shotgun proteomics","Orbitrap Exploris 480"
"PXD022051","Polytomella parva","","Gel-based experiment","Q Exactive"
"PXD022576","Bactrocera minax","Whole body","Shotgun proteomics","Q Exactive"
"PXD022664","Mus musculus (mouse)","Embryonic stem cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD023256","Mus musculus (mouse)","Lymph node;T cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD010554","Homo sapiens (human)","Colon epithelial cell","Shotgun proteomics","Orbitrap Fusion"
"PXD013142","Homo sapiens (human)","Liver;Hepatocyte","Shotgun proteomics","Q Exactive"
"PXD014445","Homo sapiens (human)","Epithelial cell of cervix;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD014720","Caenorhabditis elegans","","Shotgun proteomics","Q Exactive"
"PXD016054","Nannochloropsis oceanica strain imet1","Whole body","Shotgun proteomics;Gel-based experiment","LTQ Orbitrap Elite"
"PXD017740","Homo sapiens (human)","Intervertebral disc","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD018444","Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus)","Permanent cell line cell;Cell suspension culture","Shotgun proteomics","Q Exactive"
"PXD018662","Homo sapiens (human)","Permanent cell line cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD018774","Homo sapiens (human)","Macrophage;Cell culture","Shotgun proteomics","Orbitrap Fusion"
"PXD018900","Rattus norvegicus (rat)","Epithelial cell;Lung","Shotgun proteomics","Q Exactive"
"PXD018989","Arabidopsis thaliana (mouse-ear cress)","Cell suspension culture","Shotgun proteomics","Q Exactive"
"PXD019209","Homo sapiens (human)","Kidney cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD019785","Homo sapiens (human)","Blood;Leukocyte","Shotgun proteomics","Q Exactive"
"PXD021199","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD021359","Bacteria;Pseudomonas aeruginosa","","Shotgun proteomics","Orbitrap Fusion"
"PXD021360","Mus musculus (mouse)","Neuron","Shotgun proteomics","Q Exactive HF-X"
"PXD021540","Trypanosoma brucei","","Shotgun proteomics;Gel-based experiment","Orbitrap Fusion Lumos"
"PXD021561","Bothrops alcatraz","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD021575","Alphainfluenzavirus;Homo sapiens (human);Betainfluenzavirus","Blood","Top-down proteomics","Orbitrap Fusion"
"PXD021758","Mus musculus (mouse)","Neuron;Brain;Primary cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD021818","Mus musculus (mouse)","Neuron;Brain;Primary cell","Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion Lumos"
"PXD021915","Homo sapiens (human)","Colon;Colon endothelial cell","Shotgun proteomics","Orbitrap Fusion"
"PXD021916","Homo sapiens (human)","Epithelial cell of cervix;Uterine cervix","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022104","Homo sapiens (human)","","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD022565","Giardia intestinalis assemblage b","","Shotgun proteomics","Q Exactive HF"
"PXD022870","Mus musculus (mouse)","Testis","Shotgun proteomics;Mass spectrometry imaging","Bruker Daltonics flex series;Q Exactive HF"
"PXD010576","Homo sapiens (human);Bos taurus (bovine)","Permanent cell line cell;Cell culture","Gel-based experiment","Q Exactive"
"PXD013242","Homo sapiens (human)","Lung;Lung","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD013590","Homo sapiens (human)","Stomach;Gastric cancer cell line","Shotgun proteomics","LTQ Orbitrap Elite"
"PXD014642","Homo sapiens (human)","Cell culture","Chemical cross-linking coupled with mass spectrometry proteomics;Shotgun proteomics","Q Exactive"
"PXD016186","Mus musculus (mouse)","Heart","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD016944","Rattus norvegicus (rat)","Vesicle;Cell culture","Shotgun proteomics","Q Exactive"
"PXD018025","Helicobacter hepaticus","Feces","Shotgun proteomics","Q Exactive HF"
"PXD018218","Homo sapiens (human)","Kidney","Shotgun proteomics","Q Exactive HF-X"
"PXD019074","Homo sapiens (human)","T cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD019125","Salmo salar (atlantic salmon)","Skin;Mucus secretion","Gel-based experiment","Q Exactive"
"PXD019461","Rattus norvegicus (rat)","Heart;Blood plasma","Shotgun proteomics","Q Exactive"
"PXD019815","Homo sapiens (human);Mus musculus (mouse)","Embryonic stem cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD020610","Rattus norvegicus (rat)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD021321","Homo sapiens (human)","Early embryonic cell;Kidney","Gel-based experiment","LTQ Orbitrap"
"PXD021553","Bacteria;Neisseria meningitidis","","Chemical cross-linking coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD022142","Drosophila melanogaster (fruit fly)","Oocyte","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022812","Homo sapiens (human)","Colonic epithelium;Colon","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD024113","Homo sapiens (human)","Blood serum;Lung","Shotgun proteomics","Q Exactive"
"PXD024123","Homo sapiens (human)","Lung;Blood plasma","Shotgun proteomics","Q Exactive"
"PXD012997","Homo sapiens (human)","Skin;Fibroblast","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD014131","Homo sapiens (human)","Liver;Hepatocyte","Shotgun proteomics","Q Exactive"
"PXD014271","Homo sapiens (human)","Prostate adenocarcinoma cell","Shotgun proteomics","Q Exactive"
"PXD014908","Homo sapiens (human)","Cell culture;Hepatocyte","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD015736","Homo sapiens (human)","Myotube;Myotube","Shotgun proteomics","Q Exactive"
"PXD016427","Human gut metagenome","","Shotgun proteomics","Q Exactive"
"PXD016729","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Q Exactive"
"PXD017875","Mus musculus (mouse)","Embryonic stem cell","Shotgun proteomics","Q Exactive"
"PXD018549","Homo sapiens (human)","","Gel-based experiment","Q Exactive HF"
"PXD018727","Arabidopsis thaliana (mouse-ear cress)","Cell culture;Plant cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Elite"
"PXD018785","Homo sapiens (human)","Embryonic stem cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD019170","Saccharomyces cerevisiae (baker's yeast)","","Gel-based experiment","Q Exactive"
"PXD020108","Homo sapiens (human)","Lung;Lung","Shotgun proteomics","LTQ Orbitrap Elite;Q Exactive"
"PXD020565","Aedes aegypti","Permanent cell line cell;Cell culture","SRM/MRM;Gel-based experiment;Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos"
"PXD020640","Mus musculus (mouse)","Lung","Shotgun proteomics","Q Exactive HF"
"PXD020975","Homo sapiens (human)","Uterine lavage;Endometrium","Shotgun proteomics","Q Exactive"
"PXD021109","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD021437","Mus musculus (mouse)","Brain","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022166","Mus musculus (mouse)","Endothelial cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD022193","Mus musculus (mouse)","Brain","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD022442","Homo sapiens (human)","Synovia","Gel-based experiment","Q Exactive Plus"
"PXD022662","Homo sapiens (human);Mus musculus (mouse)","Spleen;Neutrophil;Cell culture;Fibroblast;Lung;Kidney;Brain","SRM/MRM;Shotgun proteomics","Q Exactive HF"
"PXD022846","Mus musculus (mouse)","Colon","Shotgun proteomics","Q Exactive"
"PXD023023","Canis familiaris (dog) (canis lupus familiaris)","Stroma;Stromal cell","Shotgun proteomics","Q Exactive HF-X"
"PXD023052","Glycine max","","Shotgun proteomics","LTQ Orbitrap"
"PXD023340","Homo sapiens (human)","Brain","Top-down proteomics","Q Exactive HF"
"PXD023711","Homo sapiens (human)","Permanent cell line cell","Shotgun proteomics","Q Exactive;Q Exactive HF"
"PXD023852","Homo sapiens (human)","Hipsc cell;Cell culture;Motor neuron","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD023858","Sulfolobus acidocaldarius","","Shotgun proteomics","Q Exactive HF"
"PXD023920","Homo sapiens (human)","Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD024672","Homo sapiens (human)","Epithelial cell","Gel-based experiment","Q Exactive HF"
"PXD024803","Homo sapiens (human)","Cell culture;Pluripotent stem cell","Shotgun proteomics","Q Exactive Plus"
"PXD025107","Mycoplasma gallisepticum s6","","Shotgun proteomics","Q Exactive Plus"
"PXD013672","Mus musculus (mouse)","Neutrophil;Lung","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD018184","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive HF"
"PXD018584","Homo sapiens (human)","Cell culture","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Orbitrap Fusion"
"PXD018830","Homo sapiens (human)","Breast epithelium;Epithelial cell;Breast cancer cell","SWATH MS;Shotgun proteomics","Q Exactive"
"PXD019285","Homo sapiens (human)","Liver;Hepatocyte","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD019346","Mus musculus (mouse)","","Shotgun proteomics","Q Exactive"
"PXD021731","Hordeum vulgare (barley)","Root","Shotgun proteomics","Orbitrap Eclipse"
"PXD021772","Trypanosoma brucei","","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD022098","Escherichia coli","","Shotgun proteomics","Q Exactive HF-X"
"PXD022614","Mus musculus (mouse)","Brain","Shotgun proteomics","LTQ Orbitrap;Q Exactive"
"PXD022708","Leishmania mexicana mexicana","","Shotgun proteomics","TripleTOF 5600"
"PXD022989","Homo sapiens (human)","","Gel-based experiment","Q Exactive HF"
"PXD023559","Homo sapiens (human)","Cell culture;Fibroblast","Shotgun proteomics","Q Exactive HF"
"PXD023988","Homo sapiens (human)","T cell;Cell culture","Gel-based experiment","Orbitrap Fusion Lumos"
"PXD023998","Escherichia coli","","Shotgun proteomics","Q Exactive HF"
"PXD024296","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD024335","Homo sapiens (human)","Epithelial cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","Q Exactive HF"
"PXD024764","Leishmania mexicana","","Shotgun proteomics","TripleTOF 5600"
"PXD024808","Homo sapiens (human);Chlorocebus sabaeus","Colon;Kidney","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD024945","Mus musculus (mouse)","Brain","Shotgun proteomics","Q Exactive"
"PXD025214","Homo sapiens (human);Severe acute respiratory syndrome coronavirus 2;Severe acute respiratory syndrome coronavirus 2","Nasopharynx epithelium","Shotgun proteomics","Q Exactive HF-X"
"PXD025304","Homo sapiens (human)","Fibroblast","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD025571","Chaetomium thermophilum (strain dsm 1495 / cbs 144.50 / imi 039719)","","Shotgun proteomics","LTQ Orbitrap"
"PXD025694","Caenorhabditis elegans","Germ cell","Shotgun proteomics","Q Exactive HF"
"PXD014171","Homo sapiens (human)","Lung","Shotgun proteomics","Q Exactive"
"PXD014177","Mycobacterium tuberculosis h37rv","","Shotgun proteomics","impact II"
"PXD015565","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics;Gel-based experiment","Q Exactive"
"PXD017285","Homo sapiens (human)","Blood;B cell","Shotgun proteomics","LTQ FT"
"PXD017932","Staphylococcus aureus","","Shotgun proteomics","Orbitrap Fusion;LTQ Orbitrap Velos"
"PXD018056","Toxoplasma gondii rh","Foreskin fibroblast cell line","Shotgun proteomics","Q Exactive HF"
"PXD018148","Chlamydomonas reinhardtii;Chloromonas nivalis","","Shotgun proteomics","Q Exactive HF"
"PXD019332","Arabidopsis thaliana (mouse-ear cress)","Rosette","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD019967","Mus musculus (mouse)","Blood;Blood cell","Shotgun proteomics","Q Exactive"
"PXD020760","Mus musculus (mouse)","Endothelial cell;Liver","Top-down proteomics","Q Exactive HF"
"PXD020805","Mus musculus (mouse)","Liver;Endothelial cell of vascular tree","Top-down proteomics","Q Exactive HF"
"PXD020909","Homo sapiens (human)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD021014","Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus)","Permanent cell line cell","Shotgun proteomics","Q Exactive HF"
"PXD021924","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive HF-X;Orbitrap Fusion"
"PXD022448","Arabidopsis thaliana (mouse-ear cress)","Cell suspension culture;Cell culture;Plant cell","SWATH MS;Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022523","Homo sapiens (human);Severe acute respiratory syndrome coronavirus 2","Epithelial cell;Primary cell","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD022525","Peptoclostridium difficile (strain 630) (clostridium difficile)","","Top-down proteomics","Orbitrap Fusion"
"PXD022544","Peptoclostridium difficile (strain 630) (clostridium difficile)","","Top-down proteomics","Orbitrap Fusion"
"PXD022595","Bos taurus (bovine)","Blood serum;Milk","Shotgun proteomics","Q Exactive"
"PXD022652","Mus musculus (mouse)","","Affinity purification coupled with mass spectrometry proteomics","Q Exactive Plus"
"PXD022696","Bothrops jararaca (jararaca) (bothrops jajaraca)","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD023703","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","Q Exactive HF"
"PXD023793","Mus musculus (mouse)","Lymph node;T cell","Shotgun proteomics","Q Exactive HF"
"PXD023799","Mus musculus (mouse)","Lymph node;T cell","Shotgun proteomics","Q Exactive HF"
"PXD023892","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","Q Exactive"
"PXD024075","Mus musculus (mouse)","Hippocampal neuron;Cerebral cortex;Astrocyte of the cerebral cortex;Hippocampus;Brain;Neuron of cerebral cortex;Cerebral cortex","Shotgun proteomics","Orbitrap Fusion Lumos"
"PXD024083","Sus scrofa domesticus (domestic pig)","Longissimus lumborum","Shotgun proteomics","Q Exactive"
"PXD024093","Caenorhabditis elegans","Whole body","Shotgun proteomics","Q Exactive HF"
"PXD024094","Caenorhabditis elegans","Whole body","Shotgun proteomics","Q Exactive HF"
"PXD024095","Caenorhabditis elegans","Whole body","Shotgun proteomics","Q Exactive HF"
"PXD024162","Homo sapiens (human)","Cell culture","Shotgun proteomics","Q Exactive"
"PXD024188","Homo sapiens (human)","Blood;Leukocyte","MSE","Q Exactive HF"
"PXD024331","Homo sapiens (human)","Cell culture","SRM/MRM;Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","TripleTOF 5600;Q TRAP;Q Exactive"
"PXD024338","Caenorhabditis elegans","Whole body","Shotgun proteomics","Q Exactive HF"
"PXD024340","Drosophila melanogaster (fruit fly)","Hemolymph","Top-down proteomics","Q Exactive"
"PXD024800","Homo sapiens (human)","Lung","Shotgun proteomics","Q Exactive HF"
"PXD024913","Homo sapiens (human)","Macrophage;Cell culture","Shotgun proteomics","Q Exactive"
"PXD024915","Homo sapiens (human)","Macrophage;Cell culture","Shotgun proteomics","Q Exactive"
"PXD025170","Ficus carica","Inflorescence;Receptacle","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD025241","Equus caballus (horse)","Saliva","Shotgun proteomics","Q Exactive Plus"
"PXD025485","Ficus carica","Latex","Shotgun proteomics","Q Exactive"
"PXD025913","Trypanosoma brucei","","Shotgun proteomics;Gel-based experiment","Q Exactive"
